 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
       1        252   -4.233e-01    2.442e-01   -5.000e-01    5.000e-01   1   0          0   00   14    9.583e-01
       1        456   -2.885e-01    3.426e-01   -5.000e-01    5.000e-01   1   0          0   00   23    9.583e-01
       1         35   -1.541e+00   -5.345e-01   -5.000e-01    5.000e-01   0   1          0   00   08    9.583e-01
       1        204   -5.486e-01    2.366e-01   -5.000e-01    5.000e-01   1   0          0   00   11    9.583e-01
       1        344   -1.123e+00   -1.458e+00   -1.000e+00   -1.700e+00   1   0          0   00   20    9.583e-01
       1        816    4.137e-01    1.306e+00    2.000e-01    1.500e+00   1   0          0   00   44    9.583e-01
       1        860   -1.030e+00   -8.293e-01   -1.300e+00   -9.000e-01   1   0          0   00   47    9.583e-01
       1         17   -1.365e+00   -1.350e+00   -5.000e-01    5.000e-01   0   1          0   00   11    9.583e-01
       1         25   -1.338e+00   -1.279e+00   -5.000e-01    5.000e-01   0   1          0   00   11    9.583e-01
       1         60   -2.256e+00   -9.109e-01   -5.000e-01    5.000e-01   0   1          0   00   13    9.583e-01
       1        208   -6.772e-01    3.305e-01   -5.000e-01    5.000e-01   1   0          0   00   11    9.583e-01
       1        348   -1.073e+00   -1.443e+00   -1.000e+00   -1.700e+00   1   0          0   00   20    9.583e-01
       1         60   -2.240e+00   -8.600e-01   -5.000e-01    5.000e-01   0   1          0   00   13    9.583e-01
       1         59   -2.236e+00   -7.871e-01   -5.000e-01    5.000e-01   0   1          0   00   13    9.583e-01
       1        252   -7.298e-01    3.503e-01   -5.000e-01    5.000e-01   1   0          0   00   13    9.583e-01
       1        416   -1.151e+00   -1.491e+00   -1.000e+00   -1.700e+00   1   0          0   00   22    9.583e-01
       1        912    3.501e-01    1.250e+00    2.000e-01    1.500e+00   1   0          0   00   46    9.583e-01
       1        960   -1.046e+00   -8.226e-01   -1.300e+00   -9.000e-01   1   0          0   00   49    9.583e-01
       1       1264   -8.010e-01    8.023e-01   -1.000e+00    1.000e+00   1   0          0   01   06    9.583e-01
       1       1370   -1.643e+00    1.218e+00   -1.900e+00    1.100e+00   1   0          0   01   29    9.583e-01
       1       1447   -2.236e+00   -2.457e-01    5.000e-01   -1.500e+00   0   1          0   01   46    9.583e-01
       2       1583    2.246e-01    1.772e+00    5.000e-01    1.800e+00   1   0          0   02   16    9.583e-01
       2       1660   -2.222e+00   -3.310e-01    0.000e+00   -1.000e+00   0   1          0   02   35    9.583e-01
       3       1779    8.929e-02    1.389e+00   -1.000e-01    1.600e+00   1   0          0   03   01    9.583e-01
       3       1951   -1.752e+00   -8.172e-01   -2.000e+00   -8.000e-01   1   0          0   03   12    9.583e-01
       3       2016   -2.225e+00   -1.017e+00   -5.000e-01    5.000e-01   0   1          0   03   29    9.583e-01
       4       2053   -1.148e+00   -1.474e+00   -1.000e+00   -1.700e+00   1   0          0   03   39    9.583e-01
       4       2513    2.071e-01    1.233e+00    2.000e-01    1.500e+00   1   0          0   04   01    9.583e-01
       4       2561   -1.036e+00   -8.333e-01   -1.300e+00   -9.000e-01   1   0          0   04   05    9.583e-01
       4       2664   -7.292e-01    1.013e+00   -1.000e+00    1.000e+00   1   0          0   04   26    9.583e-01
       4       2781   -1.822e+00    8.507e-01   -1.900e+00    1.100e+00   1   0          0   04   50    9.583e-01
       4       2877   -2.191e+00    4.865e-01    5.000e-01   -1.500e+00   0   1          0   05   11    9.583e-01
       5       2999    2.131e-01    1.784e+00    5.000e-01    1.800e+00   1   0          0   05   41    9.583e-01
       5       3036   -1.514e+00   -5.450e-01    0.000e+00   -1.000e+00   0   1          0   05   51    9.583e-01
       6       3179    1.799e-01    1.632e+00   -1.000e-01    1.600e+00   1   0          0   06   21    9.583e-01
       6       3339   -1.725e+00   -8.519e-01   -2.000e+00   -8.000e-01   1   0          0   06   31    9.583e-01
       6       3611   -6.864e-01    3.037e-01   -5.000e-01    5.000e-01   1   0          0   06   45    9.583e-01
       6       3763   -1.127e+00   -1.450e+00   -1.000e+00   -1.700e+00   1   0          0   06   54    9.583e-01
       6       3881   -6.919e-02    1.551e+00    2.000e-01    1.500e+00   1   0          0   07   19    9.583e-01
       6       3929   -1.066e+00   -7.998e-01   -1.300e+00   -9.000e-01   1   0          0   07   23    9.583e-01
       7       4183   -7.417e-01    1.036e+00   -1.000e+00    1.000e+00   1   0          0   08   16    9.583e-01
       7       4300   -1.630e+00    1.193e+00   -1.900e+00    1.100e+00   1   0          0   08   41    9.583e-01
       7       4409   -1.685e+00   -3.616e-01    5.000e-01   -1.500e+00   0   1          0   09   05    9.583e-01
       8       4549    2.578e-01    1.679e+00    5.000e-01    1.800e+00   1   0          0   09   37    9.583e-01
       8       4624   -2.227e+00   -1.995e-01    0.000e+00   -1.000e+00   0   1          0   09   53    9.583e-01
       9       4737   -1.597e-01    1.348e+00   -1.000e-01    1.600e+00   1   0          0   10   18    9.583e-01
       9       4909   -1.758e+00   -6.429e-01   -2.000e+00   -8.000e-01   1   0          0   10   28    9.583e-01
       9       5165   -5.428e-01    2.394e-01   -5.000e-01    5.000e-01   1   0          0   10   42    9.583e-01
       9       5325   -1.135e+00   -1.461e+00   -1.000e+00   -1.700e+00   1   0          0   10   51    9.583e-01
       9       5448    2.430e-01    1.233e+00    2.000e-01    1.500e+00   1   0          0   11   17    9.583e-01
       9       5496   -1.045e+00   -7.857e-01   -1.300e+00   -9.000e-01   1   0          0   11   20    9.583e-01
      10       5700   -7.304e-01    9.883e-01   -1.000e+00    1.000e+00   1   0          0   12   06    9.583e-01
      10       5769   -1.849e+00   -1.258e+00   -1.900e+00    1.100e+00   0   1          0   12   23    9.583e-01
      11       5818   -1.609e+00   -5.304e-01    5.000e-01   -1.500e+00   0   1          0   12   35    9.583e-01
      12       5953    4.210e-01    1.547e+00    5.000e-01    1.800e+00   1   0          0   13   03    9.583e-01
      12       6025   -2.231e+00   -3.441e-01    0.000e+00   -1.000e+00   0   1          0   13   18    9.583e-01
      13       6168   -2.396e-01    1.380e+00   -1.000e-01    1.600e+00   1   0          0   13   49    9.583e-01
      13       6360   -1.811e+00   -5.856e-01   -2.000e+00   -8.000e-01   1   0          0   14   00    9.583e-01
      13       6608   -6.263e-01    2.536e-01   -5.000e-01    5.000e-01   1   0          0   14   14    9.583e-01
      13       6764   -1.125e+00   -1.450e+00   -1.000e+00   -1.700e+00   1   0          0   14   23    9.583e-01
      13       7228   -5.225e-03    1.325e+00    2.000e-01    1.500e+00   1   0          0   14   48    9.583e-01
      13       7276   -1.053e+00   -8.000e-01   -1.300e+00   -9.000e-01   1   0          0   14   51    9.583e-01
      14       7451   -7.372e-01    9.823e-01   -1.000e+00    1.000e+00   1   0          0   15   29    9.583e-01
      14       7570   -1.976e+00    8.473e-01   -1.900e+00    1.100e+00   1   0          0   15   55    9.583e-01
      14       7627   -1.679e+00   -3.684e-01    5.000e-01   -1.500e+00   0   1          0   16   08    9.583e-01
      15       7747    6.279e-01    1.544e+00    5.000e-01    1.800e+00   1   0          0   16   41    9.583e-01
      15       7816   -2.234e+00   -2.855e-01    0.000e+00   -1.000e+00   0   1          0   17   01    9.583e-01
      16       7959    1.835e-01    1.651e+00   -1.000e-01    1.600e+00   1   0          0   17   33    9.583e-01
      16       8143   -1.797e+00   -6.396e-01   -2.000e+00   -8.000e-01   1   0          0   17   43    9.583e-01
      16       8192   -1.620e+00   -5.303e-01   -5.000e-01    5.000e-01   0   1          0   17   54    9.583e-01
      17       8234   -1.157e+00   -1.465e+00   -1.000e+00   -1.700e+00   1   0          0   18   04    9.583e-01
      17       8355   -5.230e-02    1.398e+00    2.000e-01    1.500e+00   1   0          0   18   30    9.583e-01
      17       8407   -1.046e+00   -7.911e-01   -1.300e+00   -9.000e-01   1   0          0   18   34    9.583e-01
